a_lat_kinematic_mps2,action_normalized_steer,collision,cte,delta,dt,heading_error,previous_delta,reward,s,step,success,termination_reason,v,v_ref,x,y,yaw
0.0344203601647626,0.06718414276838303,False,0.015626272601412246,0.040310485661029814,0.05,0.04976817344534634,0.034333786368370055,0.10908717013762517,0.594485064246188,14,0.0,,1.4606663786681342,1.5413965212385252,4.844922287129755,13.250735957636142,0.004726319236923349
0.04490048095214956,0.0779988169670105,False,0.019669767361441465,0.046799290180206295,0.05,0.055037506609685316,0.040310485661029814,0.11538832277958944,0.6717013201926859,15,0.0,,1.5481650418261172,1.6380159290266032,4.922329674646282,13.251101812385011,0.006176438563322506
0.05757176037941775,0.08969296514987946,False,0.024328181350067642,0.05381577908992767,0.05,0.060408180896097896,0.046799290180206295,0.12169844072176872,0.7531988483400307,16,0.0,,1.634595020935329,1.7347648739907695,5.00405786676866,13.251606607961609,0.007937479054760832
0.07274585851088292,0.10231252759695053,False,0.029666119175261605,0.06138751655817032,0.05,0.06583433201420341,0.05381577908992767,0.12791811629768954,0.8389325889380673,17,0.0,,1.7201293297512197,1.8312192552893314,5.090061623913069,13.25228927531946,0.010052025247674123
0.09074461659386988,0.11587749421596527,False,0.03573757891621557,0.06952649652957917,0.05,0.07127728948521428,0.06138751655817032,0.13405574046619234,0.9288658464928423,18,0.0,,1.8049076245616098,1.9272177039178364,5.180302445837966,13.253196408893256,0.012565855189965891
0.11191292565010198,0.1304057389497757,False,0.04258748754309341,0.07824344336986541,0.05,0.0767043375663401,0.06952649652957917,0.1401172268430771,1.022969176610025,19,0.0,,1.889045374515264,2.022720085214748,5.2747472576213905,13.254383251189978,0.015528010762296152
0.13656310231774055,0.1458471268415451,False,0.05025329542502088,0.08750827610492706,0.05,0.08208607516516997,0.07824344336986541,0.1461094792060669,1.1212215671647474,20,0.0,,1.9726809559896366,2.117745949837182,5.373369414382489,13.255914780197186,0.018989368816752172
0.16507956860754452,0.16221661865711212,False,0.05876640910001726,0.09732997119426727,0.05,0.08739507951617664,0.08750827610492706,0.1521194347171246,1.2236644405417145,21,0.0,,2.0559197678767833,2.2123819927691977,5.476146869415562,13.257866693819995,0.02300410643411599
0.19781055182324564,0.1794692873954773,False,0.06815205024362359,0.10768157243728638,0.05,0.09261104276649323,0.09732997119426727,0.15781527252994196,1.3301230917916587,22,0.0,,2.138860507665027,2.306572159387871,5.5830615995149735,13.260326605585231,0.027628310563238667
0.23506475742216942,0.1975213885307312,False,0.07843301617239137,0.11851283311843872,0.05,0.09770302453620383,0.10768157243728638,0.16369698138302352,1.4407617230629872,23,0.0,,2.2215756052980398,2.400498881251478,5.694097987952396,13.263395134208583,0.03291880702128358
